ferdatimi,fjoldi,hlutfall,kjordaemi,kjorstadur,sveitarfelag,svfnr
0-5,67,0.033102766798418976,Suðurkjördæmi,Aratunga,Bláskógabyggð,8721
6-10,80,0.039525691699604744,Suðurkjördæmi,Aratunga,Bláskógabyggð,8721
11-15,34,0.016798418972332016,Suðurkjördæmi,Aratunga,Bláskógabyggð,8721
16-20,27,0.0133399209486166,Suðurkjördæmi,Aratunga,Bláskógabyggð,8721
21-25,18,0.008893280632411068,Suðurkjördæmi,Aratunga,Bláskógabyggð,8721
>26,1798,0.8883399209486166,Suðurkjördæmi,Aratunga,Bláskógabyggð,8721
0-5,87,0.35802469135802467,Norðvesturkjördæmi,Baldurshagi,Vesturbyggð,4607
6-10,41,0.16872427983539096,Norðvesturkjördæmi,Baldurshagi,Vesturbyggð,4607
11-15,16,0.06584362139917696,Norðvesturkjördæmi,Baldurshagi,Vesturbyggð,4607
16-20,1,0.00411522633744856,Norðvesturkjördæmi,Baldurshagi,Vesturbyggð,4607
21-25,4,0.01646090534979424,Norðvesturkjördæmi,Baldurshagi,Vesturbyggð,4607
>26,94,0.3868312757201646,Norðvesturkjördæmi,Baldurshagi,Vesturbyggð,4607
0-5,17,0.12318840579710146,Norðvesturkjördæmi,Birkimelur,Vesturbyggð,4607
6-10,5,0.036231884057971016,Norðvesturkjördæmi,Birkimelur,Vesturbyggð,4607
11-15,4,0.028985507246376812,Norðvesturkjördæmi,Birkimelur,Vesturbyggð,4607
16-20,0,0.0,Norðvesturkjördæmi,Birkimelur,Vesturbyggð,4607
21-25,2,0.014492753623188406,Norðvesturkjördæmi,Birkimelur,Vesturbyggð,4607
>26,110,0.7971014492753623,Norðvesturkjördæmi,Birkimelur,Vesturbyggð,4607
0-5,50,0.029691211401425176,Suðurkjördæmi,Bláskógaskóli,Bláskógabyggð,8721
6-10,41,0.024346793349168647,Suðurkjördæmi,Bláskógaskóli,Bláskógabyggð,8721
11-15,51,0.030285035629453682,Suðurkjördæmi,Bláskógaskóli,Bláskógabyggð,8721
16-20,17,0.010095011876484561,Suðurkjördæmi,Bláskógaskóli,Bláskógabyggð,8721
21-25,24,0.014251781472684086,Suðurkjördæmi,Bláskógaskóli,Bláskógabyggð,8721
>26,1501,0.8913301662707839,Suðurkjördæmi,Bláskógaskóli,Bláskógabyggð,8721
0-5,196,0.6030769230769231,Reykjavíkurkjördæmi suður,Borgarbókasafnið Kringlan,Reykjavíkurborg,0000
6-10,73,0.2246153846153846,Reykjavíkurkjördæmi suður,Borgarbókasafnið Kringlan,Reykjavíkurborg,0000
11-15,27,0.08307692307692308,Reykjavíkurkjördæmi suður,Borgarbókasafnið Kringlan,Reykjavíkurborg,0000
16-20,29,0.08923076923076922,Reykjavíkurkjördæmi suður,Borgarbókasafnið Kringlan,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi suður,Borgarbókasafnið Kringlan,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi suður,Borgarbókasafnið Kringlan,Reykjavíkurborg,0000
0-5,127,0.12649402390438247,Norðausturkjördæmi,Borgarhólsskóli,Norðurþing,6100
6-10,266,0.2649402390438247,Norðausturkjördæmi,Borgarhólsskóli,Norðurþing,6100
11-15,254,0.25298804780876494,Norðausturkjördæmi,Borgarhólsskóli,Norðurþing,6100
16-20,185,0.18426294820717132,Norðausturkjördæmi,Borgarhólsskóli,Norðurþing,6100
21-25,14,0.013944223107569721,Norðausturkjördæmi,Borgarhólsskóli,Norðurþing,6100
>26,158,0.15737051792828685,Norðausturkjördæmi,Borgarhólsskóli,Norðurþing,6100
0-5,253,0.23867924528301887,Reykjavíkurkjördæmi norður,Borgaskóli,Reykjavíkurborg,0000
6-10,173,0.1632075471698113,Reykjavíkurkjördæmi norður,Borgaskóli,Reykjavíkurborg,0000
11-15,226,0.21320754716981133,Reykjavíkurkjördæmi norður,Borgaskóli,Reykjavíkurborg,0000
16-20,202,0.19056603773584907,Reykjavíkurkjördæmi norður,Borgaskóli,Reykjavíkurborg,0000
21-25,96,0.09056603773584905,Reykjavíkurkjördæmi norður,Borgaskóli,Reykjavíkurborg,0000
>26,110,0.10377358490566038,Reykjavíkurkjördæmi norður,Borgaskóli,Reykjavíkurborg,0000
0-5,386,0.1774712643678161,Reykjavíkurkjördæmi suður,Breiðagerðisskóli,Reykjavíkurborg,0000
6-10,788,0.3622988505747126,Reykjavíkurkjördæmi suður,Breiðagerðisskóli,Reykjavíkurborg,0000
11-15,747,0.34344827586206894,Reykjavíkurkjördæmi suður,Breiðagerðisskóli,Reykjavíkurborg,0000
16-20,178,0.08183908045977012,Reykjavíkurkjördæmi suður,Breiðagerðisskóli,Reykjavíkurborg,0000
21-25,74,0.03402298850574713,Reykjavíkurkjördæmi suður,Breiðagerðisskóli,Reykjavíkurborg,0000
>26,2,0.0009195402298850574,Reykjavíkurkjördæmi suður,Breiðagerðisskóli,Reykjavíkurborg,0000
0-5,284,0.5892116182572614,Reykjavíkurkjördæmi suður,Breiðholtsskóli,Reykjavíkurborg,0000
6-10,178,0.36929460580912865,Reykjavíkurkjördæmi suður,Breiðholtsskóli,Reykjavíkurborg,0000
11-15,8,0.016597510373443983,Reykjavíkurkjördæmi suður,Breiðholtsskóli,Reykjavíkurborg,0000
16-20,12,0.024896265560165973,Reykjavíkurkjördæmi suður,Breiðholtsskóli,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi suður,Breiðholtsskóli,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi suður,Breiðholtsskóli,Reykjavíkurborg,0000
0-5,157,0.25363489499192243,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
6-10,258,0.4168012924071082,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
11-15,140,0.22617124394184168,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
16-20,18,0.029079159935379646,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
21-25,17,0.027463651050080775,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
>26,29,0.046849757673667204,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
0-5,105,0.0995260663507109,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
6-10,289,0.2739336492890995,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
11-15,158,0.14976303317535544,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
16-20,21,0.01990521327014218,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
21-25,18,0.017061611374407582,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
>26,464,0.43981042654028435,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
0-5,12,0.009167303284950344,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
6-10,256,0.19556913674560733,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
11-15,545,0.4163483575248281,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
16-20,195,0.1489686783804431,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
21-25,24,0.01833460656990069,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
>26,277,0.21161191749427044,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
0-5,189,0.03735177865612648,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
6-10,742,0.1466403162055336,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
11-15,781,0.15434782608695652,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
16-20,718,0.14189723320158104,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
21-25,334,0.06600790513833991,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
>26,2296,0.45375494071146244,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
0-5,235,0.11820925553319919,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
6-10,576,0.289738430583501,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
11-15,470,0.23641851106639838,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
16-20,448,0.22535211267605634,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
21-25,101,0.05080482897384306,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
>26,158,0.079476861167002,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
0-5,316,0.4606413994169096,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
6-10,347,0.5058309037900874,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
11-15,23,0.033527696793002916,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
16-20,0,0.0,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
0-5,198,0.4024390243902439,Norðvesturkjördæmi,Félagsheimili Bolungarvíkur,Bolungarvíkurkaupstaður,4100
